date, pm25, pm10, no2, latitude, longitude
07/08/2020,23,13,4,59.33716532,18.03549986
08/08/2020,20,13,4,59.33716532,18.03549986
09/08/2020,26,7,5,59.33716532,18.03549986
10/08/2020,10,8,5,59.33716532,18.03549986
11/08/2020,12,14,9,59.33716532,18.03549986
12/08/2020,16,16,8,59.33716532,18.03549986
13/08/2020,26,17,12,59.33716532,18.03549986
14/08/2020,34,19,12,59.33716532,18.03549986
15/08/2020,34,14,6,59.33716532,18.03549986
16/08/2020,30,10,6,59.33716532,18.03549986
17/08/2020,19,19,15,59.33716532,18.03549986
18/08/2020,30,16,8,59.33716532,18.03549986
19/08/2020,30,14,10,59.33716532,18.03549986
20/08/2020,21,14,7,59.33716532,18.03549986
21/08/2020,30,11,6,59.33716532,18.03549986
22/08/2020,25,8,5,59.33716532,18.03549986
23/08/2020,16,9,10,59.33716532,18.03549986
24/08/2020,14,7,12,59.33716532,18.03549986
25/08/2020,8,9,12,59.33716532,18.03549986
26/08/2020,10,7,15,59.33716532,18.03549986
27/08/2020,9,8,12,59.33716532,18.03549986
28/08/2020,10,4,7,59.33716532,18.03549986
29/08/2020,11,6,9,59.33716532,18.03549986
30/08/2020,12,4,10,59.33716532,18.03549986
31/08/2020,8,6,6,59.33716532,18.03549986
01/09/2020,14,7,3,59.33716532,18.03549986
02/09/2020,15,11,4,59.33716532,18.03549986
03/09/2020,29,11,7,59.33716532,18.03549986
04/09/2020,26,8,3,59.33716532,18.03549986
05/09/2020,16,5,4,59.33716532,18.03549986
06/09/2020,10,5,7,59.33716532,18.03549986
07/09/2020,9,7,6,59.33716532,18.03549986
08/09/2020,10,7,5,59.33716532,18.03549986
09/09/2020,16,6,9,59.33716532,18.03549986
10/09/2020,6,8,8,59.33716532,18.03549986
11/09/2020,10,8,4,59.33716532,18.03549986
12/09/2020,20,7,2,59.33716532,18.03549986
13/09/2020,15,6,6,59.33716532,18.03549986
14/09/2020,16,13,8,59.33716532,18.03549986
15/09/2020,32,10,7,59.33716532,18.03549986
16/09/2020,21,12,7,59.33716532,18.03549986
17/09/2020,8,11,8,59.33716532,18.03549986
18/09/2020,15,9,10,59.33716532,18.03549986
19/09/2020,14,8,7,59.33716532,18.03549986
20/09/2020,19,9,5,59.33716532,18.03549986
21/09/2020,18,11,7,59.33716532,18.03549986
22/09/2020,21,27,11,59.33716532,18.03549986
23/09/2020,55,37,11,59.33716532,18.03549986
24/09/2020,74,15,9,59.33716532,18.03549986
25/09/2020,31,27,4,59.33716532,18.03549986
26/09/2020,59,32,4,59.33716532,18.03549986
27/09/2020,61,33,5,59.33716532,18.03549986
28/09/2020,60,16,8,59.33716532,18.03549986
29/09/2020,37,14,8,59.33716532,18.03549986
30/09/2020,38,17,5,59.33716532,18.03549986
01/04/2020,14,20,4,59.33716532,18.03549986
02/04/2020,15,20,6,59.33716532,18.03549986
03/04/2020,12,19,5,59.33716532,18.03549986
04/04/2020,15,17,5,59.33716532,18.03549986
05/04/2020,23,27,8,59.33716532,18.03549986
06/04/2020,47,34,10,59.33716532,18.03549986
07/04/2020,56,25,6,59.33716532,18.03549986
08/04/2020,26,24,9,59.33716532,18.03549986
09/04/2020,20,13,5,59.33716532,18.03549986
10/04/2020,12,9,4,59.33716532,18.03549986
11/04/2020,11,12,2,59.33716532,18.03549986
12/04/2020,20,13,3,59.33716532,18.03549986
13/04/2020,10,17,6,59.33716532,18.03549986
14/04/2020,13,19,8,59.33716532,18.03549986
15/04/2020,12,20,6,59.33716532,18.03549986
16/04/2020,13,17,8,59.33716532,18.03549986
17/04/2020,11,11,6,59.33716532,18.03549986
18/04/2020,12,14,6,59.33716532,18.03549986
19/04/2020,13,27,12,59.33716532,18.03549986
20/04/2020,19,18,9,59.33716532,18.03549986
21/04/2020,14,18,8,59.33716532,18.03549986
22/04/2020,14,22,9,59.33716532,18.03549986
23/04/2020,16,12,7,59.33716532,18.03549986
24/04/2020,10,9,5,59.33716532,18.03549986
25/04/2020,10,11,4,59.33716532,18.03549986
26/04/2020,11,14,4,59.33716532,18.03549986
27/04/2020,15,3,5,59.33716532,18.03549986
28/04/2020,7,12,10,59.33716532,18.03549986
29/04/2020,17,10,4,59.33716532,18.03549986
30/04/2020,23,8,3,59.33716532,18.03549986
01/05/2020,29,12,4,59.33716532,18.03549986
02/05/2020,20,9,5,59.33716532,18.03549986
03/05/2020,15,7,9,59.33716532,18.03549986
04/05/2020,14,11,8,59.33716532,18.03549986
05/05/2020,13,25,13,59.33716532,18.03549986
06/05/2020,19,21,10,59.33716532,18.03549986
07/05/2020,14,21,8,59.33716532,18.03549986
08/05/2020,26,14,3,59.33716532,18.03549986
09/05/2020,15,13,3,59.33716532,18.03549986
10/05/2020,22,6,6,59.33716532,18.03549986
11/05/2020,7,11,8,59.33716532,18.03549986
12/05/2020,10,6,10,59.33716532,18.03549986
13/05/2020,7,13,10,59.33716532,18.03549986
14/05/2020,13,12,8,59.33716532,18.03549986
15/05/2020,12,13,5,59.33716532,18.03549986
16/05/2020,10,10,3,59.33716532,18.03549986
17/05/2020,9,8,8,59.33716532,18.03549986
18/05/2020,8,8,8,59.33716532,18.03549986
19/05/2020,10,10,9,59.33716532,18.03549986
20/05/2020,12,9,5,59.33716532,18.03549986
21/05/2020,12,13,4,59.33716532,18.03549986
22/05/2020,18,8,3,59.33716532,18.03549986
23/05/2020,18,11,3,59.33716532,18.03549986
24/05/2020,26,12,5,59.33716532,18.03549986
25/05/2020,23,15,9,59.33716532,18.03549986
26/05/2020,22,15,7,59.33716532,18.03549986
27/05/2020,21,9,8,59.33716532,18.03549986
28/05/2020,12,10,7,59.33716532,18.03549986
29/05/2020,12,10,4,59.33716532,18.03549986
